Date,Clicks,Impressions,CTR,Position
2025-12-20,0,0,,
2025-12-21,0,3,0%,2.3
2025-12-22,1,13,7.69%,3
2025-12-23,1,13,7.69%,7
2025-12-24,0,9,0%,5.2
2025-12-25,0,10,0%,4.1
2025-12-26,1,6,16.67%,3
2025-12-27,2,9,22.22%,4.7
2025-12-28,0,12,0%,4.8
2025-12-29,1,12,8.33%,4.2
2025-12-30,0,8,0%,4.4
2025-12-31,0,4,0%,6
2026-01-01,2,15,13.33%,2.7
2026-01-02,0,4,0%,3.2
2026-01-03,1,6,16.67%,5.3
2026-01-04,0,1,0%,4
2026-01-05,3,10,30%,4.8
2026-01-06,1,10,10%,3.9
2026-01-07,0,12,0%,3.6
2026-01-08,0,17,0%,3.9
2026-01-09,1,18,5.56%,4
2026-01-10,0,10,0%,4.8
2026-01-11,0,14,0%,4.7
2026-01-12,0,15,0%,4.2
2026-01-13,1,15,6.67%,3.3
2026-01-14,0,5,0%,3.8
2026-01-15,1,11,9.09%,4.1
2026-01-16,1,8,12.5%,2.6
2026-01-17,1,10,10%,3.5
2026-01-18,0,7,0%,4.6
2026-01-19,0,3,0%,8.7
2026-01-20,2,20,10%,4.3
2026-01-21,2,11,18.18%,4.2
2026-01-22,0,10,0%,4.6
2026-01-23,0,10,0%,3
2026-01-24,1,11,9.09%,3.5
2026-01-25,0,12,0%,3.3
2026-01-26,2,12,16.67%,4.3
2026-01-27,69,1816,3.8%,3.6
2026-01-28,24,735,3.27%,3.6
2026-01-29,3,176,1.7%,5.6
2026-01-30,6,315,1.9%,3.8
2026-01-31,5,184,2.72%,4
2026-02-01,4,171,2.34%,4.2
2026-02-02,2,129,1.55%,4.2
2026-02-03,5,115,4.35%,3.5
2026-02-04,5,79,6.33%,4.9
2026-02-05,0,74,0%,3.7
2026-02-06,5,78,6.41%,4.9
2026-02-07,1,80,1.25%,3.9
2026-02-08,2,80,2.5%,4
2026-02-09,2,68,2.94%,4.1
2026-02-10,1,68,1.47%,4.5
2026-02-11,3,66,4.55%,4.6
2026-02-12,4,61,6.56%,4.5
2026-02-13,5,95,5.26%,4.7
2026-02-14,3,68,4.41%,6.7
2026-02-15,12,124,9.68%,7
2026-02-16,10,335,2.99%,7.2
2026-02-17,2,412,0.49%,9.2
2026-02-18,10,385,2.6%,9.4
2026-02-19,6,368,1.63%,8.9
2026-02-20,10,395,2.53%,9.4
2026-02-21,6,414,1.45%,9.4
2026-02-22,6,415,1.45%,9
2026-02-23,6,637,0.94%,8.7
2026-02-24,7,591,1.18%,8.7
2026-02-25,7,628,1.11%,7.8
2026-02-26,7,686,1.02%,8.5
2026-02-27,7,777,0.9%,7.7
2026-02-28,5,720,0.69%,8.8
2026-03-01,7,1131,0.62%,6.8
2026-03-02,21,1469,1.43%,6.7
2026-03-03,11,1676,0.66%,7
2026-03-04,21,1216,1.73%,8.6
2026-03-05,26,1628,1.6%,6.3
2026-03-06,23,1630,1.41%,6.8
2026-03-07,16,1431,1.12%,6.3
2026-03-08,24,1488,1.61%,6.4
2026-03-09,18,1520,1.18%,6.5
2026-03-10,20,1762,1.14%,6.7
2026-03-11,28,1714,1.63%,6.7
2026-03-12,29,1705,1.7%,6.4
2026-03-13,18,1536,1.17%,6.8
2026-03-14,23,1536,1.5%,7.2
2026-03-15,16,1397,1.15%,6.7
2026-03-16,21,1723,1.22%,6.9
2026-03-17,13,2230,0.58%,6.3
2026-03-18,19,2665,0.71%,6.2
2026-03-19,13,1965,0.66%,6.7
2026-03-20,11,1805,0.61%,6.3
2026-03-21,23,2154,1.07%,6.6
2026-03-22,18,2175,0.83%,6.4
2026-03-23,46,2564,1.79%,6.8
2026-03-24,38,3057,1.24%,6.1
2026-03-25,57,3471,1.64%,5.9
2026-03-26,46,3106,1.48%,6.3
2026-03-27,43,3572,1.2%,6.1
2026-03-28,30,3872,0.77%,5.9
2026-03-29,46,4214,1.09%,5.6
2026-03-30,59,4750,1.24%,5.6
2026-03-31,61,5112,1.19%,5.5
2026-04-01,64,4063,1.58%,5.6
2026-04-02,87,5150,1.69%,5.7
2026-04-03,71,5868,1.21%,5.8
2026-04-04,51,5761,0.89%,5.5
2026-04-05,45,4580,0.98%,5.8
2026-04-06,74,6214,1.19%,5.9
