Country,Clicks,Impressions,CTR,Position
Morocco,1207,32263,3.74%,6.65
France,75,4662,1.61%,7.12
Western Sahara,27,287,9.41%,6.29
Belgium,20,932,2.15%,6.05
Canada,19,2742,0.69%,5.63
United Kingdom,17,2345,0.72%,7.19
United States,16,43153,0.04%,5.93
Egypt,16,625,2.56%,6.99
Algeria,13,425,3.06%,6.47
Spain,9,2063,0.44%,5.71
Germany,9,1488,0.6%,6.37
United Arab Emirates,6,523,1.15%,6.01
Saudi Arabia,6,428,1.4%,6.38
Tunisia,6,205,2.93%,5.93
Netherlands,5,1053,0.47%,6.07
Italy,3,864,0.35%,5.84
Russia,3,396,0.76%,5.1
Portugal,3,306,0.98%,5.31
Sweden,3,268,1.12%,6.35
Ireland,3,199,1.51%,5.45
Iraq,3,169,1.78%,6.54
Libya,3,56,5.36%,6.32
China,2,1524,0.13%,4.72
Australia,2,350,0.57%,5.39
Israel,2,171,1.17%,5.43
Qatar,2,135,1.48%,6.89
Côte d’Ivoire,2,58,3.45%,7.02
Azerbaijan,2,32,6.25%,4.5
Brazil,1,2888,0.03%,5.41
Turkey,1,522,0.19%,6.23
Singapore,1,490,0.2%,6.28
Indonesia,1,443,0.23%,5.51
Ukraine,1,395,0.25%,5.75
Poland,1,383,0.26%,6.55
Japan,1,344,0.29%,6.02
Switzerland,1,308,0.32%,5.94
Pakistan,1,200,0.5%,6.25
Norway,1,188,0.53%,6.21
Hungary,1,163,0.61%,6.75
Denmark,1,159,0.63%,6.99
South Africa,1,148,0.68%,6.56
Greece,1,142,0.7%,7.13
Nigeria,1,101,0.99%,6
Kenya,1,58,1.72%,5.12
Mauritania,1,54,1.85%,6
Oman,1,50,2%,6.98
Syria,1,49,2.04%,6.33
Lebanon,1,44,2.27%,5.7
Bahrain,1,43,2.33%,5.44
Cambodia,1,41,2.44%,6.24
Cuba,1,32,3.12%,5.12
Cyprus,1,29,3.45%,5.41
Malawi,1,9,11.11%,3.56
Kyrgyzstan,1,7,14.29%,5.43
Djibouti,1,5,20%,16
St. Barthélemy,1,2,50%,9
India,0,972,0%,5.68
Mexico,0,813,0%,5.64
Argentina,0,607,0%,5.62
Colombia,0,459,0%,5.47
Vietnam,0,424,0%,6.34
South Korea,0,415,0%,5.71
Hong Kong,0,301,0%,5.33
Philippines,0,300,0%,6.05
Malaysia,0,285,0%,5.52
Ecuador,0,282,0%,5.37
Thailand,0,254,0%,5.44
Peru,0,234,0%,5.39
Romania,0,220,0%,6.82
Iran,0,208,0%,5.85
Chile,0,205,0%,5.82
Bangladesh,0,197,0%,6.09
Czechia,0,170,0%,6.28
Taiwan,0,154,0%,5.51
Dominican Republic,0,131,0%,5.1
Venezuela,0,120,0%,5.17
Austria,0,114,0%,5.59
Slovakia,0,97,0%,6.91
Jordan,0,90,0%,5.57
Serbia,0,89,0%,5.45
Finland,0,81,0%,5.72
Bulgaria,0,81,0%,6.07
Kuwait,0,77,0%,5.74
Albania,0,76,0%,5.96
New Zealand,0,70,0%,5.4
Croatia,0,70,0%,5.94
Belarus,0,67,0%,5.63
Lithuania,0,65,0%,6.22
Paraguay,0,64,0%,5.69
Uruguay,0,57,0%,5.47
Costa Rica,0,57,0%,5.98
Senegal,0,57,0%,6.02
Bosnia & Herzegovina,0,51,0%,5.88
Luxembourg,0,50,0%,6.26
Palestine,0,48,0%,6.73
Latvia,0,47,0%,5.6
Kazakhstan,0,47,0%,5.66
Panama,0,46,0%,5.43
Trinidad & Tobago,0,40,0%,5.1
Puerto Rico,0,40,0%,6.28
Ethiopia,0,40,0%,7.05
Nepal,0,39,0%,5.38
Moldova,0,39,0%,6.31
Georgia,0,38,0%,6.21
Uzbekistan,0,36,0%,4.89
Congo - Kinshasa,0,36,0%,6.61
Bolivia,0,35,0%,5.43
Jamaica,0,34,0%,6
Slovenia,0,33,0%,5.24
Honduras,0,33,0%,5.52
Bahamas,0,33,0%,5.7
Cameroon,0,31,0%,7.03
Guatemala,0,30,0%,4.4
El Salvador,0,30,0%,6.23
Yemen,0,30,0%,12.53
Kosovo,0,29,0%,4.83
Estonia,0,29,0%,5.86
Guinea,0,28,0%,3.75
Tanzania,0,28,0%,6.57
Unknown Region,0,27,0%,5.41
Ghana,0,26,0%,4.88
Mauritius,0,26,0%,5.46
Macedonia,0,26,0%,6.04
Barbados,0,22,0%,6.68
Uganda,0,21,0%,5.62
Burkina Faso,0,20,0%,5.9
Armenia,0,20,0%,5.95
Sri Lanka,0,19,0%,5.16
Madagascar,0,18,0%,6.78
Iceland,0,15,0%,5.2
Sudan,0,15,0%,6.87
Malta,0,15,0%,7.07
Belize,0,14,0%,5.71
Angola,0,13,0%,4.46
Myanmar (Burma),0,13,0%,5.62
Nicaragua,0,13,0%,6.08
Mongolia,0,12,0%,4.17
Liberia,0,12,0%,4.67
Gabon,0,12,0%,5.92
Benin,0,12,0%,6.08
Montenegro,0,12,0%,6.67
Zambia,0,12,0%,8
Martinique,0,11,0%,4.09
Afghanistan,0,11,0%,4.45
Togo,0,11,0%,5.73
Mali,0,11,0%,6.64
Somalia,0,9,0%,5.44
Maldives,0,9,0%,5.89
Haiti,0,9,0%,6.89
Réunion,0,8,0%,5
Guyana,0,7,0%,5.57
Laos,0,7,0%,7.29
Zimbabwe,0,7,0%,11
Congo - Brazzaville,0,6,0%,4.5
Sierra Leone,0,6,0%,5
Botswana,0,6,0%,5.83
Monaco,0,5,0%,4.2
Comoros,0,5,0%,5.8
Rwanda,0,5,0%,6.4
Isle of Man,0,5,0%,6.6
Bermuda,0,5,0%,8.6
North Korea,0,4,0%,2.75
Namibia,0,4,0%,3.25
Chad,0,4,0%,3.5
Fiji,0,4,0%,4
Turks & Caicos Islands,0,4,0%,6
Curaçao,0,4,0%,6.75
Macau,0,4,0%,7
Brunei,0,4,0%,7.5
Guadeloupe,0,4,0%,8
Seychelles,0,4,0%,9
Guam,0,4,0%,9.75
Mozambique,0,3,0%,2.33
Gibraltar,0,3,0%,4
French Polynesia,0,3,0%,4
US Virgin Islands,0,3,0%,6.33
Antigua & Barbuda,0,3,0%,7
Guernsey,0,3,0%,8
Suriname,0,2,0%,1
Swaziland,0,2,0%,1
Gambia,0,2,0%,2.5
St. Vincent & Grenadines,0,2,0%,2.5
Andorra,0,2,0%,4
Sint Maarten,0,2,0%,5
Cayman Islands,0,2,0%,6
St. Lucia,0,2,0%,6.5
Burundi,0,2,0%,7
French Guiana,0,2,0%,7
Aruba,0,2,0%,8
Cape Verde,0,2,0%,8
Niger,0,2,0%,10
Grenada,0,2,0%,11
Anguilla,0,1,0%,2
Greenland,0,1,0%,2
São Tomé & Príncipe,0,1,0%,2
Equatorial Guinea,0,1,0%,3
Kiribati,0,1,0%,4
New Caledonia,0,1,0%,5
Tajikistan,0,1,0%,5
British Virgin Islands,0,1,0%,5
Lesotho,0,1,0%,6
Antarctica,0,1,0%,7
Samoa,0,1,0%,7
Central African Republic,0,1,0%,8
Papua New Guinea,0,1,0%,9
South Sudan,0,1,0%,9
Dominica,0,1,0%,10
Jersey,0,1,0%,10
Marshall Islands,0,1,0%,10
Turkmenistan,0,1,0%,10
Tokelau,0,1,0%,15
Bhutan,0,1,0%,18
Liechtenstein,0,1,0%,20
